"year","flag_tsunami","flag_earthquake","volcano_name","country","elevation","volcano_type","volcanic_explosivity_index","volcano_deaths","volcano_deaths_description","volcano_injuries","volcano_injuries_description","volcano_damage_in_m","volcano_damage_description","volcano_houses_destroyed","volcano_houses_destroyed_description","lat","long"
1280,FALSE,FALSE,"Quilotoa","Ecuador",3914,"Caldera",6,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-0.85,-78.9
1540,TRUE,FALSE,"Augustine","United States",1252,"Lava dome",4,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",59.37,-153.42
1660,TRUE,FALSE,"Long Island","Papua New Guinea",1280,"Complex volcano",6,2000,"Very Many (~1001 or more)",NA,"None/No Record",NA,"SEVERE (~$5 to $24 million)",NA,"Many (~101 to 1000)",-5.358,147.12
1858,FALSE,TRUE,"Tate-yama","Japan",2621,"Stratovolcano",NA,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",36.57,137.6
1864,FALSE,FALSE,"Kelut","Indonesia",1731,"Stratovolcano",2,54,"Some (~51 to 100)",NA,"None/No Record",NA,"None/No Record",NA,"Many (~101 to 1000)",-7.93,112.308
1873,FALSE,FALSE,"Ragang","Philippines",2815,"Stratovolcano",2,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",7.67,124.5
1902,FALSE,FALSE,"Tori-shima","Japan",403,"Stratovolcano",3,125,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",30.48,140.32
1907,FALSE,FALSE,"Alayta","Ethiopia",1501,"Shield volcano",2,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",12.88,40.57
1909,FALSE,FALSE,"Semeru","Indonesia",3676,"Stratovolcano",2,221,"Many (~101 to 1000)",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-8.108,112.92
1919,FALSE,FALSE,"Kelut","Indonesia",1731,"Stratovolcano",4,5110,"Very Many (~1001 or more)",NA,"None/No Record",NA,"None/No Record",9000,"Very Many (~1001 or more)",-7.93,112.308
1919,FALSE,FALSE,"Nasu","Japan",1917,"Stratovolcano",NA,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",37.12,139.97
1920,FALSE,FALSE,"Izalco","El Salvador",1950,"Stratovolcano",3,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",13.813,-89.633
1938,FALSE,FALSE,"Bandai","Japan",1819,"Stratovolcano",NA,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",37.6,140.08
1949,FALSE,FALSE,"Villarrica","Chile",2847,"Stratovolcano",3,54,"Some (~51 to 100)",NA,"None/No Record",NA,"MODERATE (~$1 to $5 million)",NA,"None/No Record",-39.42,-71.93
1963,FALSE,FALSE,"Fuego","Guatemala",3763,"Stratovolcano",3,7,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",14.473,-90.88
1968,FALSE,FALSE,"Mayon","Philippines",2462,"Stratovolcano",3,6,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",13.257,123.685
1985,FALSE,FALSE,"Semeru","Indonesia",3676,"Stratovolcano",3,70,"Some (~51 to 100)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-8.108,112.92
1992,FALSE,FALSE,"Marapi","Indonesia",2891,"Complex volcano",2,1,"Few (~1 to 50)",5,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",-0.381,100.473
2001,FALSE,FALSE,"Stromboli","Italy",926,"Stratovolcano",2,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",38.789,15.213
2004,FALSE,FALSE,"Manam","Papua New Guinea",1807,"Stratovolcano",4,5,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-4.1,145.061
2010,TRUE,TRUE,"Sarigan","United States",538,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",16.708,145.78
2018,FALSE,TRUE,"Etna","Italy",3350,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",37.734,15.004
2020,FALSE,FALSE,"Taal","Philippines",400,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",67,"EXTREME (~>=$25 million)",4573,"Very Many (~1001 or more)",14.002,120.993
1357,FALSE,FALSE,"Katla","Iceland",1512,"Subglacial volcano",4,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",63.63,-19.05
1586,FALSE,FALSE,"Kelut","Indonesia",1731,"Stratovolcano",5,10000,"Very Many (~1001 or more)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-7.93,112.308
1730,FALSE,FALSE,"Tseax River Cone","Canada",609,"Pyroclastic cone",NA,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",55.12,-128.9
1823,FALSE,FALSE,"Kilauea","United States",1222,"Shield volcano",0,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",19.425,-155.292
1832,FALSE,FALSE,"Merapi","Indonesia",2947,"Stratovolcano",3,32,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"Some (~51 to 100)",-7.542,110.442
1838,FALSE,FALSE,"Gamalama","Indonesia",1715,"Stratovolcano",2,4,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",0.8,127.325
1858,FALSE,FALSE,"Mayon","Philippines",2462,"Stratovolcano",2,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",13.257,123.685
1872,FALSE,FALSE,"Aso","Japan",1592,"Caldera",3,4,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",32.88,131.1
1879,TRUE,FALSE,"Stromboli","Italy",926,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",38.789,15.213
1893,FALSE,FALSE,"Azuma","Japan",2024,"Stratovolcano",2,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",37.73,140.25
1918,TRUE,FALSE,"Banua Wuhu","Indonesia",-5,"Submarine volcano",3,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",3.138,125.491
1940,FALSE,FALSE,"Miyake-jima","Japan",815,"Stratovolcano",2,11,"Few (~1 to 50)",20,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",34.08,139.53
1966,TRUE,FALSE,"Tinakula","Solomon Is.",851,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-10.38,165.8
1970,FALSE,FALSE,"Hekla","Iceland",1491,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",63.98,-19.7
1974,FALSE,FALSE,"Fuego","Guatemala",3763,"Stratovolcano",4,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"MODERATE (~$1 to $5 million)",NA,"Many (~101 to 1000)",14.473,-90.88
1975,FALSE,FALSE,"Marapi","Indonesia",2891,"Complex volcano",2,80,"Some (~51 to 100)",NA,"None/No Record",NA,"SEVERE (~$5 to $24 million)",NA,"Many (~101 to 1000)",-0.381,100.473
1977,FALSE,FALSE,"Krafla","Iceland",650,"Caldera",1,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",65.73,-16.78
1984,FALSE,FALSE,"On-take","Japan",3063,"Complex volcano",NA,29,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",35.9,137.48
1989,FALSE,FALSE,"Aso","Japan",1592,"Caldera",NA,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",32.88,131.1
1991,FALSE,FALSE,"Mutnovsky","Russia",2322,"Complex volcano",NA,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",52.453,158.195
1991,FALSE,FALSE,"Hudson, Cerro","Chile",1905,"Stratovolcano",5,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-45.9,-72.97
1992,FALSE,FALSE,"Dieng Volc Complex","Indonesia",2565,"Complex volcano",NA,1,"Few (~1 to 50)",2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",-7.2,109.92
1993,FALSE,FALSE,"Mayon","Philippines",2462,"Stratovolcano",2,75,"Some (~51 to 100)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",13.257,123.685
1995,FALSE,FALSE,"Kelimutu","Indonesia",1640,"Complex volcano",NA,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-8.758,121.83
2015,FALSE,FALSE,"Okataina","New Zealand",1111,"Lava dome",NA,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-38.12,176.5
2018,TRUE,FALSE,"Kadovar","Papua New Guinea",365,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-3.62,144.62
-1750,FALSE,FALSE,"Veniaminof","United States",2507,"Stratovolcano",6,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",56.17,-159.38
847,FALSE,FALSE,"Bona-Churchill","United States",5005,"Stratovolcano",6,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",61.38,-141.75
930,FALSE,FALSE,"Ceboruco","Mexico",2280,"Stratovolcano",6,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",21.125,-104.508
1158,FALSE,FALSE,"Hekla","Iceland",1491,"Stratovolcano",4,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",63.98,-19.7
1329,FALSE,FALSE,"Etna","Italy",3350,"Stratovolcano",1,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",37.734,15.004
1510,FALSE,FALSE,"Hekla","Iceland",1491,"Stratovolcano",4,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",63.98,-19.7
1615,FALSE,FALSE,"Banda Api","Pacific Ocean",640,"Caldera",3,NA,"None/No Record",NA,"None/No Record",NA,"MODERATE (~$1 to $5 million)",NA,"Some (~51 to 100)",-4.525,129.871
1617,FALSE,FALSE,"Fuego","Guatemala",3763,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",14.473,-90.88
1646,FALSE,FALSE,"Makian","Indonesia",1357,"Stratovolcano",4,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",0.32,127.4
1677,FALSE,FALSE,"La Palma","Spain",2426,"Stratovolcano",2,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",28.58,-17.83
1784,FALSE,FALSE,"Hualalai","United States",2523,"Shield volcano",0,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",19.692,-155.87
1800,FALSE,FALSE,"St. Helens","United States",2549,"Stratovolcano",5,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",46.2,-122.18
1820,FALSE,FALSE,"Banda Api","Pacific Ocean",640,"Caldera",2,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-4.525,129.871
1827,TRUE,TRUE,"Avachinsky","Russia",2741,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",53.255,158.83
1843,FALSE,FALSE,"Etna","Italy",3350,"Stratovolcano",2,56,"Some (~51 to 100)",NA,"Some (~51 to 100)",NA,"None/No Record",NA,"None/No Record",37.734,15.004
1847,FALSE,FALSE,"Dieng Volc Complex","Indonesia",2565,"Complex volcano",2,NA,"Some (~51 to 100)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-7.2,109.92
1857,TRUE,TRUE,"Umboi","Papua New Guinea",1548,"Complex volcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-5.589,147.875
1866,TRUE,FALSE,"Ofu-Olosega","United States",639,"Shield volcano",2,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-14.175,-169.618
1870,FALSE,FALSE,"Ruang","Indonesia",725,"Stratovolcano",2,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",40,"Few (~1 to 50)",2.28,125.425
1870,FALSE,FALSE,"Iliwerung","Indonesia",1018,"Complex volcano",3,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-8.54,123.59
1885,FALSE,TRUE,"Purace","Colombia",4650,"Stratovolcano",3,NA,"Some (~51 to 100)",NA,"None/No Record",NA,"MODERATE (~$1 to $5 million)",NA,"Some (~51 to 100)",2.32,-76.4
1897,TRUE,FALSE,"Tinakula","Solomon Is.",851,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-10.38,165.8
1902,TRUE,FALSE,"Soufriere St. Vincent","St. Vincent & the Grenadines",1220,"Stratovolcano",4,1680,"Very Many (~1001 or more)",NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",13.33,-61.18
1903,FALSE,FALSE,"Karthala","Comoros",2361,"Shield volcano",NA,17,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-11.75,43.38
1932,FALSE,FALSE,"Kusatsu-Shirane","Japan",2176,"Stratovolcano",3,2,"Few (~1 to 50)",7,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",36.62,138.55
1951,TRUE,FALSE,"Kavachi","Solomon Is.",-20,"Submarine volcano",2,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-9.02,157.95
1971,FALSE,FALSE,"Kusatsu-Shirane","Japan",2176,"Stratovolcano",NA,6,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",36.62,138.55
1991,FALSE,FALSE,"Lokon-Empung","Indonesia",1580,"Stratovolcano",1,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",1.358,124.792
1995,FALSE,FALSE,"Pacaya","Guatemala",2552,"Complex volcano",3,1,"Few (~1 to 50)",NA,"None/No Record",NA,"LIMITED (~<$1 million)",1,"Few (~1 to 50)",14.381,-90.601
1998,FALSE,FALSE,"Kilauea","United States",1222,"Shield volcano",NA,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",19.425,-155.292
1999,FALSE,FALSE,"Fuego","Guatemala",3763,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",14.473,-90.88
2011,FALSE,FALSE,"Gamalama","Indonesia",1715,"Stratovolcano",3,4,"Few (~1 to 50)",NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",0.8,127.325
2017,FALSE,FALSE,"Sinabung","Indonesia",2460,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"MODERATE (~$1 to $5 million)",NA,"None/No Record",3.17,98.392
920,FALSE,FALSE,"Katla","Iceland",1512,"Subglacial volcano",4,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",63.63,-19.05
1104,FALSE,FALSE,"Hekla","Iceland",1491,"Stratovolcano",5,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",63.98,-19.7
1151,FALSE,FALSE,"Krisuvik","Iceland",379,"Crater rows",1,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",63.93,-22.1
1206,FALSE,FALSE,"Hekla","Iceland",1491,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",63.98,-19.7
1329,TRUE,TRUE,"Etna","Italy",3350,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",37.734,15.004
1485,FALSE,FALSE,"Aso","Japan",1592,"Caldera",2,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",32.88,131.1
1550,FALSE,FALSE,"Dukono","Indonesia",1185,"Complex volcano",3,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",1.68,127.88
1576,FALSE,FALSE,"Colima","Mexico",3850,"Stratovolcano",3,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",19.514,-103.62
1580,FALSE,FALSE,"Katla","Iceland",1512,"Subglacial volcano",4,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",63.63,-19.05
1598,FALSE,FALSE,"Asama","Japan",2560,"Complex volcano",2,800,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",36.4,138.53
1730,FALSE,FALSE,"Lanzarote","Spain",670,"Fissure vent",2,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",29.03,-13.63
1772,FALSE,FALSE,"Papandayan","Indonesia",2665,"Stratovolcano",3,2957,"Very Many (~1001 or more)",NA,"None/No Record",NA,"None/No Record",NA,"Many (~101 to 1000)",-7.32,107.73
1781,TRUE,FALSE,"Sakura-jima","Japan",1117,"Stratovolcano",4,23,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",31.58,130.67
1826,FALSE,FALSE,"Aso","Japan",1592,"Caldera",2,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",32.88,131.1
1840,TRUE,FALSE,"Kilauea","United States",1222,"Shield volcano",0,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",19.425,-155.292
1840,FALSE,FALSE,"Savo","Solomon Is.",510,"Stratovolcano",3,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-9.13,159.82
1850,FALSE,FALSE,"Rabaul","Papua New Guinea",688,"Pyroclastic shield",2,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-4.271,152.203
1858,FALSE,FALSE,"Tate-yama","Japan",2621,"Stratovolcano",NA,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",36.57,137.6
1883,FALSE,FALSE,"Karthala","Comoros",2361,"Shield volcano",2,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"SEVERE (~$5 to $24 million)",NA,"None/No Record",-11.75,43.38
1887,FALSE,FALSE,"Mayon","Philippines",2462,"Stratovolcano",3,15,"Few (~1 to 50)",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"Few (~1 to 50)",13.257,123.685
1890,FALSE,FALSE,"Makian","Indonesia",1357,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"SEVERE (~$5 to $24 million)",NA,"Many (~101 to 1000)",0.32,127.4
1902,TRUE,FALSE,"Pelee","Martinique",1397,"Stratovolcano",4,1500,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",14.82,-61.17
1902,FALSE,FALSE,"Santa Maria","Guatemala",3772,"Stratovolcano",6,2500,"Very Many (~1001 or more)",NA,"None/No Record",NA,"MODERATE (~$1 to $5 million)",NA,"Some (~51 to 100)",14.756,-91.552
1936,FALSE,FALSE,"Asama","Japan",2560,"Complex volcano",3,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",36.4,138.53
1937,FALSE,FALSE,"Llaima","Chile",3125,"Stratovolcano",2,3,"Few (~1 to 50)",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-38.692,-71.729
1943,FALSE,FALSE,"Azul, Cerro","Ecuador",1690,"Shield volcano",3,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-0.9,-91.42
1951,FALSE,FALSE,"Lamington","Papua New Guinea",1680,"Stratovolcano",4,2942,"Very Many (~1001 or more)",NA,"Some (~51 to 100)",NA,"None/No Record",NA,"None/No Record",-8.95,148.15
1970,FALSE,FALSE,"Campi Flegrei","Italy",458,"Caldera",NA,3,"Few (~1 to 50)",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"Few (~1 to 50)",40.827,14.139
1981,FALSE,FALSE,"Semeru","Indonesia",3676,"Stratovolcano",3,372,"Many (~101 to 1000)",152,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",-8.108,112.92
1983,TRUE,FALSE,"Iliwerung","Indonesia",1018,"Complex volcano",1,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-8.54,123.59
1985,FALSE,FALSE,"Etna","Italy",3350,"Stratovolcano",1,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",37.734,15.004
1990,FALSE,FALSE,"Sabancaya","Peru",5967,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-15.78,-71.85
1990,FALSE,FALSE,"Nyiragongo","Congo, DRC",3470,"Stratovolcano",NA,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-1.52,29.25
1997,FALSE,FALSE,"Semeru","Indonesia",3676,"Stratovolcano",3,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-8.108,112.92
1999,TRUE,FALSE,"Soufriere Hills","Montserrat",915,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",16.72,-62.18
2000,FALSE,FALSE,"Merapi","Indonesia",2947,"Stratovolcano",2,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-7.542,110.442
50,FALSE,FALSE,"Ambrym","Vanuatu",1334,"Pyroclastic shield",6,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-16.25,168.12
590,FALSE,FALSE,"San Salvador","El Salvador",1893,"Stratovolcano",NA,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",13.736,-89.286
1302,FALSE,FALSE,"Ischia","Italy",789,"Complex volcano",NA,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",40.73,13.897
1568,FALSE,FALSE,"Savo","Solomon Is.",510,"Stratovolcano",3,1001,"Very Many (~1001 or more)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-9.13,159.82
1570,FALSE,FALSE,"Mombacho","Nicaragua",1344,"Stratovolcano",NA,400,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",11.826,-85.968
1663,FALSE,FALSE,"Usu","Japan",731,"Stratovolcano",5,5,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",42.53,140.83
1693,FALSE,TRUE,"Etna","Italy",3350,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",37.734,15.004
1755,FALSE,FALSE,"Katla","Iceland",1512,"Subglacial volcano",4,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",63.63,-19.05
1843,FALSE,FALSE,"Lamongan","Indonesia",1651,"Stratovolcano",2,4,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-8,113.342
1872,FALSE,FALSE,"Vesuvius","Italy",1281,"Complex volcano",3,9,"Few (~1 to 50)",11,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",40.821,14.426
1878,TRUE,TRUE,"Okmok","United States",1073,"Shield volcano",2,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",53.42,-168.13
1913,FALSE,FALSE,"Ambrym","Vanuatu",1334,"Pyroclastic shield",3,21,"Few (~1 to 50)",NA,"None/No Record",NA,"SEVERE (~$5 to $24 million)",NA,"None/No Record",-16.25,168.12
1949,FALSE,FALSE,"Purace","Colombia",4650,"Stratovolcano",2,17,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",2.32,-76.4
1957,FALSE,FALSE,"Aso","Japan",1592,"Caldera",2,12,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",32.88,131.1
1963,FALSE,FALSE,"Irazu","Costa Rica",3432,"Stratovolcano",3,40,"Few (~1 to 50)",NA,"Few (~1 to 50)",NA,"MODERATE (~$1 to $5 million)",400,"Many (~101 to 1000)",9.979,-83.852
1971,FALSE,FALSE,"Fuego","Guatemala",3763,"Stratovolcano",3,10,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",14.473,-90.88
1992,FALSE,FALSE,"Negro, Cerro","Nicaragua",728,"Cinder cone",3,11,"Few (~1 to 50)",50,"Few (~1 to 50)",3,"MODERATE (~$1 to $5 million)",NA,"Few (~1 to 50)",12.506,-86.702
1997,FALSE,FALSE,"Hakkoda Group","Japan",1585,"Stratovolcano",NA,3,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",40.65,140.88
1997,FALSE,FALSE,"Adatara","Japan",1718,"Stratovolcano",NA,4,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",37.62,140.28
1997,FALSE,FALSE,"Aso","Japan",1592,"Caldera",NA,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",32.88,131.1
2004,FALSE,FALSE,"Egon","Indonesia",1703,"Stratovolcano",1,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-8.67,122.45
2013,FALSE,FALSE,"Paluweh","Indonesia",875,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"Few (~1 to 50)",-8.32,121.708
2013,FALSE,FALSE,"Sakura-jima","Japan",1117,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",31.58,130.67
2015,FALSE,FALSE,"Karangetang [Api Siau]","Indonesia",1784,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"Few (~1 to 50)",2.78,125.48
416,TRUE,FALSE,"Krakatau","Indonesia",813,"Caldera",NA,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-6.102,105.423
1311,FALSE,FALSE,"Kelut","Indonesia",1731,"Stratovolcano",3,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-7.93,112.308
1410,FALSE,FALSE,"Nasu","Japan",1917,"Stratovolcano",3,180,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",37.12,139.97
1672,FALSE,FALSE,"Fayal","Portugal",1043,"Stratovolcano",2,3,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",38.6,-28.73
1780,TRUE,FALSE,"Sakura-jima","Japan",1117,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",31.58,130.67
